#TYPE Selected.System.Diagnostics.Process
"Name","Id","Path"
"StartMenuExperienceHost","4732","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","704","C:\WINDOWS\system32\svchost.exe"
"svchost","8988","C:\WINDOWS\system32\svchost.exe"
"svchost","9060","C:\WINDOWS\system32\svchost.exe"
"svchost","9148","C:\WINDOWS\system32\svchost.exe"
"svchost","10232","C:\WINDOWS\system32\svchost.exe"
"svchost","10304","C:\WINDOWS\system32\svchost.exe"
"svchost","10496","C:\WINDOWS\system32\svchost.exe"
"svchost","16068","C:\WINDOWS\system32\svchost.exe"
"svchost","18812","C:\WINDOWS\system32\svchost.exe"
"SystemSettings","12524","C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"taskhostw","9868","C:\WINDOWS\system32\taskhostw.exe"
"TextInputHost","8308","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"UserOOBEBroker","2608","C:\Windows\System32\oobe\UserOOBEBroker.exe"
"WhatsApp.Root","3940","C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2613.101.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe"
"WINWORD","3464","C:\Program Files\Microsoft Office\Root\Office16\WINWORD.EXE"
"WidgetBoard","3192","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\WidgetBoard.exe"
"WidgetService","18920","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.15.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe"
"WindowsPackageManagerServer","13476","C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.28.220.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe"
